Serotype,Accession,Strain Name,Species
SAT1,MH882580,K29,Cattle
SAT1,MH882590,PRB3,Buffalo
SAT1,MH882596,PRB4,Buffalo
SAT1,MH882603,PRB6,Buffalo
SAT1,MH882582,PRB10,Buffalo
SAT1,MH882598,PRB5,Buffalo
SAT1,MH882598,PRB5,Buffalo
SAT1,MH882606,PRB7,Buffalo
SAT1,MH882609,PRB8,Buffalo
SAT1,MH882611,PRB9,Buffalo
SAT1,MH882584,PRB17,Buffalo
SAT1,MH882583,PRB11,Buffalo
SAT1,MH882587,PRB27,Buffalo
SAT1,MH882585,PRB25,Buffalo
SAT1,MH882586,PRB26,Buffalo
SAT1,MH882588,PRB28,Buffalo
SAT1,MH882589,PRB29,Buffalo
SAT1,MH882591,PRB31,Buffalo
SAT1,MH882592,PRB32,Buffalo
SAT1,MH882593,PRB36,Buffalo
SAT1,MH882599,PRB51,Buffalo
SAT1,MH882602,PRB59,Buffalo
SAT1,MH882594,PRB37,Buffalo
SAT1,MH882595,PRB38,Buffalo
SAT1,MH882597,PRB48,Buffalo
SAT1,MH882600,PRB55,Buffalo
SAT1,MH882601,PRB57,Buffalo
SAT1,MH882604,PRB61,Buffalo
SAT1,MH882605,PRB64,Buffalo
SAT1,MH882610,PRB84,Buffalo
SAT1,MH882607,PRB72,Buffalo
SAT1,MH882608,PRB73,Buffalo
SAT1,MH882581,K75,Cattle
SAT2,MH882612,K137,Cattle
SAT2,MH882613,K39,Cattle
SAT2,MH882614,PRB1,Buffalo
SAT2,MH882615,PRB6,Buffalo
SAT2,MH882616,PRB12,Buffalo
SAT2,MH882617,PRB13,Buffalo
SAT2,MH882618,PRB14,Buffalo
SAT2,MH882619,PRB15,Buffalo
SAT2,MH882620,PRB18,Buffalo
SAT2,MH882621,PRB19,Buffalo
SAT2,MH882622,PRB20,Buffalo
SAT2,MH882623,PRB22,Buffalo
SAT2,MH882624,PRB23,Buffalo
SAT2,MH882627,PRB36,Buffalo
SAT2,MH882628,PRB39,Buffalo
SAT2,MH882631,PRB42,Buffalo
SAT2,MH882633,PRB44,Buffalo
SAT2,MH882634,PRB46,Buffalo
SAT2,MH882637,PRB51,Buffalo
SAT2,MH882638,PRB51,Buffalo
SAT2,MH882639,PRB54,Buffalo
SAT2,MH882642,PRB59,Buffalo
SAT2,MH882625,PRB34,Buffalo
SAT2,MH882626,PRB35,Buffalo
SAT2,MH882629,PRB40,Buffalo
SAT2,MH882630,PRB41,Buffalo
SAT2,MH882632,PRB43,Buffalo
SAT2,MH882635,PRB47,Buffalo
SAT2,MH882636,PRB50,Buffalo
SAT2,MH882638,PRB52,Buffalo
SAT2,MH882640,PRB56,Buffalo
SAT2,MH882641,PRB58,Buffalo
SAT2,MH882643,PRB60,Buffalo
SAT2,MH882648,PRB66,Buffalo
SAT2,MH882655,PRB75,Buffalo
SAT2,MH882656,PRB76,Buffalo
SAT2,MH882610,PRB84,Buffalo
SAT2,MH882644,PRB61,Buffalo
SAT2,MH882645,PRB62,Buffalo
SAT2,MH882646,PRB63,Buffalo
SAT2,MH882647,PRB65,Buffalo
SAT2,MH882649,PRB67,Buffalo
SAT2,MH882650,PRB68,Buffalo
SAT2,MH882651,PRB69,Buffalo
SAT2,MH882652,PRB70,Buffalo
SAT2,MH882653,PRB71,Buffalo
SAT2,MH882654,PRB74,Buffalo
SAT2,MH882657,PRB80,Buffalo
SAT2,MH882658,PRB81,Buffalo
SAT2,MH882659,PRB83,Buffalo
SAT2,MH882660,PRB85,Buffalo
SAT2,MH882661,PRB86,Buffalo
SAT2,MH882662,PRB87,Buffalo
SAT2,MH882663,PRB88,Buffalo
A,MH882567,K74,Cattle
A,MH882568,K91,Cattle
A,MH882569,K145,Cattle
A,MH882570,K39,Cattle
A,MH882571,K103/14,Cattle
A,MH882572,K103/15,Cattle
O,MH882573,K19,Cattle
O,MH882574,K60,Cattle
O,MH882575,PRC45,Cattle
O,MH882576,PRC49,Cattle
O,MH882577,PRC60,Cattle
